invoice_no,invoice_date,vendor_name,vendor_gstin,category,state,description,quantity,unit_rate,taxable_amount,gst_rate,gst_amount,currency,payment_status,payment_date
INV-2024-0111,16.06.2024,Konark Fabrication Pvt. Ltd.,21AACCK5678L1Z2,Fabrication,Odisha,Freight - Durgapur to Asansol,30,1898.65,56959.56 ,18%,"10,253",INR,Paid,30-Jul-2024
INV-2024-0081,02.06.2024,KONARK FABRICATION,21AACCK5678L1Z2,Fabrication,Odisha,Angle sections supply,6,43392.07,"781,057",28%,"218,696",INR,Paid,02-Aug-2024
INV-2024-0046,04-Apr-2024,Apex Safety Equip.,07AAKCA4567U1Z7,Safety,Delhi,Welding consumables,37,16662.38,Rs. 499871,12%,59984.57,INR,Paid,16.04.2024
INV-2024-0032,2024-12-14,APEX SAFETY EQUIPMENT,07AAKCA4567U1Z7,Safety,Delhi,Welding consumables,24,1495.66,Rs. 35896,12%,4307.51,INR,Paid,18-Jan-2025
INV-2024-0049,11.06.2024,Eastern Logistics,19AAECE3456N1Z1,Transport,West Bengal,Site safety harness x20,36,89317.66,Rs. 535906,18%,"96,463",INR,Paid,21.07.2024
INV-2024-0020,14.10.2024,GUPTA HARDWARE STORES,10AAFCG7890P1Z4,Consumables,Bihar,Epoxy primer 200L,16,2480.52,"89,299",18%,"16,074",INR,Paid,2024-11-14
INV-2024-0055,22/10/2024,Apex Safety Equip.,07AAKCA4567U1Z7,Safety,Delhi,Freight - Durgapur to Asansol,20,60739.96,668139.55,5%,33406.98,INR,Paid,2024-11-22
INV-2024-0092,08.04.2024, Bharat Steel Works,19AABCB1234K1Z5,Raw Material,West Bengal,Freight - Durgapur to Asansol,20,37486.56,562298.41 ,18%,101213.71,INR,Paid,09.05.2024
INV-2024-0007,2024-04-13,Nova Paints and Coatings,24AAHCN6789R1Z6,Consumables,Gujarat,Structural design review,17,11209.81,Rs. 33629,18%,6053.30,INR,Paid,27.05.2024
INV-2024-0091,05-Sep-2024,Sundaram Engg,33AADCS9012M1Z8,Fabrication,Tamil Nadu,MS plate 12mm supply,15,1421.79,Rs. 29858,28%,"8,360",INR,Paid,27-Oct-2024
INV-2024-0074,10-Mar-2025,Sundaram Engineering,33AADCS9012M1Z8,Fabrication,Tamil Nadu,Epoxy primer 200L,7,2578.61,Rs. 41258,18%,"7,426",INR,Paid,2025-05-10
INV-2024-0008,30.05.2024,Eastern Logistics,,Transport,West Bengal,MS plate 12mm supply,24,8304.04,Rs. 49824,5%,2491.21,INR,Paid,2024-07-30
INV-2024-0028,10/08/2024,Sen Brothers Welding,19AAJCS0123T1Z3,Fabrication,West Bengal,Structural design review,20,2870.96,43064.40,18%,"7,752",INR,Paid,10-Oct-2024
INV-2024-0058,15-Jan-2025,Sundaram Engineering,33AADCS9012M1Z8,Fabrication,Tamil Nadu,Welding consumables,22,22191.4,687933.31,12%,"82,552",INR,Paid,09.02.2025
INV-2024-0118,18/11/2024,Meridian Consultants LLP,29AALCM8901V1Z0,Services,Karnataka,Site safety harness x20,17,56562.32,791872.54 ,18%,"142,537",INR,Paid,01.01.2025
INV-2024-0009,20.01.2025,Eastern Logistics Co,19AAECE3456N1Z1,Transport,West Bengal,Epoxy primer 200L,19,27133.85,895417.09 ,18%,"161,175",INR,Unpaid,
INV-2024-0902,2025-01-08,Precision Tools India,27AAGCP2345Q1Z9,Tooling,Maharashtra,Imported CNC spindle bearing,2,3100.0,6200.00,18%,1116.00,USD,Unpaid,
INV-2024-0017,2024-05-25,Gupta Hardware,10AAFCG7890P1Z4,Consumables,Bihar,Cutting tools replenishment,11,101219.43,708536.00,18%,"127,536",INR,Paid,2024-06-22
