source_row,invoice_no,invoice_date,vendor_name,vendor_gstin,category,state,description,quantity,unit_rate,taxable_amount,gst_rate,gst_amount,currency,payment_status,payment_date,vendor_name_original,vendor_name_normalized,vendor_key,is_credit_note,is_duplicate_invoice,is_superseded_duplicate,in_scope_fy_2024_25,line_total,line_total_inr,missing_taxable_amount,missing_gst_amount,missing_gstin,future_invoice_date,payment_before_invoice,expected_gst,gst_difference,gst_reconciliation_exception,vendor_name_variant_count,vendor_name_variation
2,INV-2024-0111,2024-06-16,Konark Fabrication Pvt. Ltd.,21AACCK5678L1Z2,Fabrication,Odisha,Freight - Durgapur to Asansol,30.0,1898.65,56959.56,18.0,10253.0,INR,Paid,2024-07-30,Konark Fabrication Pvt. Ltd.,KONARK FABRICATION,21AACCK5678L1Z2,False,False,False,True,67212.56,67212.56,False,False,False,False,False,10252.7208,0.27920000000085565,False,4,True
3,INV-2024-0081,2024-06-02,KONARK FABRICATION,21AACCK5678L1Z2,Fabrication,Odisha,Angle sections supply,6.0,43392.07,781057.0,28.0,218696.0,INR,Paid,2024-08-02,KONARK FABRICATION,KONARK FABRICATION,21AACCK5678L1Z2,False,False,False,True,999753.0,999753.0,False,False,False,False,False,218695.96,0.04000000000814907,False,4,True
4,INV-2024-0046,2024-04-04,Apex Safety Equip.,07AAKCA4567U1Z7,Safety,Delhi,Welding consumables,37.0,16662.38,499871.0,12.0,59984.57,INR,Paid,2024-04-16,Apex Safety Equip.,APEX SAFETY EQUIP,07AAKCA4567U1Z7,False,False,False,True,559855.57,559855.57,False,False,False,False,False,59984.52,0.05000000000291038,False,3,True
5,INV-2024-0032,2024-12-14,APEX SAFETY EQUIPMENT,07AAKCA4567U1Z7,Safety,Delhi,Welding consumables,24.0,1495.66,35896.0,12.0,4307.51,INR,Paid,2025-01-18,APEX SAFETY EQUIPMENT,APEX SAFETY EQUIPMENT,07AAKCA4567U1Z7,False,False,False,True,40203.51,40203.51,False,False,False,False,False,4307.52,0.010000000000218279,False,3,True
6,INV-2024-0049,2024-06-11,Eastern Logistics,19AAECE3456N1Z1,Transport,West Bengal,Site safety harness x20,36.0,89317.66,535906.0,18.0,96463.0,INR,Paid,2024-07-21,Eastern Logistics,EASTERN LOGISTICS,19AAECE3456N1Z1,False,False,False,True,632369.0,632369.0,False,False,False,False,False,96463.08,0.08000000000174623,False,3,True
7,INV-2024-0020,2024-10-14,GUPTA HARDWARE STORES,10AAFCG7890P1Z4,Consumables,Bihar,Epoxy primer 200L,16.0,2480.52,89299.0,18.0,16074.0,INR,Paid,2024-11-14,GUPTA HARDWARE STORES,GUPTA HARDWARE STORES,10AAFCG7890P1Z4,False,False,False,True,105373.0,105373.0,False,False,False,False,False,16073.82,0.18000000000029104,False,3,True
8,INV-2024-0055,2024-10-22,Apex Safety Equip.,07AAKCA4567U1Z7,Safety,Delhi,Freight - Durgapur to Asansol,20.0,60739.96,668139.55,5.0,33406.98,INR,Paid,2024-11-22,Apex Safety Equip.,APEX SAFETY EQUIP,07AAKCA4567U1Z7,False,False,False,True,701546.53,701546.53,False,False,False,False,False,33406.9775,0.0025000000023283064,False,3,True
9,INV-2024-0092,2024-04-08, Bharat Steel Works,19AABCB1234K1Z5,Raw Material,West Bengal,Freight - Durgapur to Asansol,20.0,37486.56,562298.41,18.0,101213.71,INR,Paid,2024-05-09, Bharat Steel Works,BHARAT STEEL WORKS,19AABCB1234K1Z5,False,False,False,True,663512.12,663512.12,False,False,False,False,False,101213.71380000001,0.0038000000058673322,False,5,True
10,INV-2024-0007,2024-04-13,Nova Paints and Coatings,24AAHCN6789R1Z6,Consumables,Gujarat,Structural design review,17.0,11209.81,33629.0,18.0,6053.3,INR,Paid,2024-05-27,Nova Paints and Coatings,NOVA PAINTS AND COATINGS,24AAHCN6789R1Z6,False,False,False,True,39682.3,39682.3,False,False,False,False,False,6053.22,0.07999999999992724,False,3,True
11,INV-2024-0091,2024-09-05,Sundaram Engg,33AADCS9012M1Z8,Fabrication,Tamil Nadu,MS plate 12mm supply,15.0,1421.79,29858.0,28.0,8360.0,INR,Paid,2024-10-27,Sundaram Engg,SUNDARAM ENGG,33AADCS9012M1Z8,False,False,False,True,38218.0,38218.0,False,False,False,False,False,8360.24,0.23999999999978172,False,3,True
